Codigo,Nombre,Cantidad_Disponible,Unidad_Medida,Costo_Unitario,Valor_Stock_Total,Categoria,Bodega,Comprometido,Proveedor
118,CINTA OPP ROJA 24MM X 40 MTS,715.0,UNIDAD,308.8741,220845.0,PROD. INSUMOS,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, BODEGA GESLOG INTEGRAL, RRHH, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
12826,CABEZAL ETIQUETADOR PACKLAB MODULO 20,0.0,,0.0,0.0,INDUST. APLICADOR,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, TALLER SERV.TECNICO, SERVICIO TECNICO, BODEGA CLIENTES, MAURICIO MEDINA, BOG.LOGICA COCA-COLA, TINTAS, MAURICIO DAVIS, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, ST CONCEPCION, BODEGA DURAMET, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, RRHH, POSCOSECHA, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
12842,CABEZAL TERMICO DATAMAX E-4203,0.0,UN,78723.5,0.0,ST-ETIQUETADO,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, BOG.LOGICA CyT VESPUCIO, SERVICIO TECNICO, TALLER SERV.TECNICO, BODEGA CLIENTES, BOG.LOGICA COCA-COLA, MAURICIO DAVIS, MAURICIO MEDINA, TINTAS, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, CONTAINER, MP MAQUINA WEBER, SIEGWERK, RRHH, ST CONCEPCION, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
13735,DIFERENCIA DE PRECIO ETIQUETAS INDUSTRIALES *NO USAR*,14.0,UNIDAD,0.0,0.0,INDUST. BLANCA,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, RRHH, CONTAINER, ST CONCEPCION, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, MP MAQUINA WEBER, SALDO MATERIAS PRIMAS, SIEGWERK, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, MAURICIO DAVIS, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, MPRIMA SOBRE STOCK, BOG.LOGICA APL, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
16279,G77112M KIT PRINT MECH LATCH ZXM + SERIES ZEBRA,0.0,UN,59659.3333,0.0,ST-ETIQUETADO,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA APL, MPRIMA SOBRE STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, MAURICIO DAVIS, BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, SIEGWERK, SALDO MATERIAS PRIMAS, MP MAQUINA WEBER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, ST CONCEPCION, CONTAINER, RRHH, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
16477,G47490 PRINT SERVER EXTERNO ZEBRA,0.0,,0.0,0.0,INDUST.IMPRESORA,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, RRHH, CONTAINER, ST CONCEPCION, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, MP MAQUINA WEBER, SALDO MATERIAS PRIMAS, SIEGWERK, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, MAURICIO DAVIS, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, MPRIMA SOBRE STOCK, BOG.LOGICA APL, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
16781,ROL13-2311-01 RODILLO TRACTOR DATAMAX E-4203,0.0,UN,13039.5,0.0,ST-ETIQUETADO,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA APL, MPRIMA SOBRE STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, MAURICIO DAVIS, BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, SIEGWERK, SALDO MATERIAS PRIMAS, MP MAQUINA WEBER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, ST CONCEPCION, CONTAINER, RRHH, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
17169,SERVICIO DE IMPRESION DE ETIQUETAS (no usar),0.0,UNIDAD,0.0,0.0,PRIME,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, RRHH, CONTAINER, ST CONCEPCION, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, MP MAQUINA WEBER, SALDO MATERIAS PRIMAS, SIEGWERK, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, MAURICIO DAVIS, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, MPRIMA SOBRE STOCK, BOG.LOGICA APL, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
175578,ETIQ.INDUST.B 40 X 58 SEM C3 1S 4.600ETR,676.2,Miles,855.0444,578181.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
175611,ETIQ.INDUST.B 60 X 45 PP C1 2S 6.299ETR,44.1,Miles,2717.415,119838.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
18035,"ROL15-2847-01 KIT, UPPER PLATEN ROLLER",0.0,UN,8172.1875,0.0,ST-ETIQUETADO,"BODEGA COSTEO, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, MATERIAS PRIMAS E INSUMOS, PRODUCCION, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, BOG.LOGICA APL, MPRIMA SOBRE STOCK, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BODEGA CLIENTES, BOG.LOGICA COCA-COLA, MAURICIO DAVIS, MAURICIO MEDINA, TINTAS, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, ST CONCEPCION, BODEGA DURAMET, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, POSCOSECHA, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, GESLOG PUDAHUEL, RRHH, BODEGA ESQUIM",0.0,- Ningún fabricante -
18041,G77807M MEDIA SENSOR ASSY KIT ZEBRA Z4M+,0.0,UN,17537.0,0.0,ST-ETIQUETADO,"BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, POSCOSECHA, RRHH, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, BODEGA DURAMET, ST CONCEPCION, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, MAURICIO DAVIS, TINTAS, BOG.LOGICA COCA-COLA, MAURICIO MEDINA, BODEGA CLIENTES, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
18203,CINTA TT RESINA 110 X 450 OUT AXR7,107.0,UNIDAD,17206.5047,1841096.0,INDUST. CINTAS,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, TALLER SERV.TECNICO, SERVICIO TECNICO, BODEGA CLIENTES, MAURICIO MEDINA, BOG.LOGICA COCA-COLA, TINTAS, MAURICIO DAVIS, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, ST CONCEPCION, BODEGA DURAMET, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, RRHH, POSCOSECHA, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
18589,CINTA TT CERA 160 X 450 OUT  F  21187027,40.5,UNIDAD,4854.1481,196593.0,INDUST. CINTAS,"BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, POSCOSECHA, RRHH, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, BODEGA DURAMET, ST CONCEPCION, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, MAURICIO DAVIS, TINTAS, BOG.LOGICA COCA-COLA, MAURICIO MEDINA, BODEGA CLIENTES, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",60585.8,- Ningún fabricante -
19373,DPO51-2308-00 FUENTE PODER DATAMAX I-4208,0.0,UNIDAD,0.0,0.0,ST-ETIQUETADO,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, TALLER SERV.TECNICO, SERVICIO TECNICO, BODEGA CLIENTES, MAURICIO MEDINA, BOG.LOGICA COCA-COLA, TINTAS, MAURICIO DAVIS, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, ST CONCEPCION, BODEGA DURAMET, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, RRHH, POSCOSECHA, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
19447,ETIQUETADOR SEMIAUTOMATICO SAMSON,0.0,UN,0.0,0.0,SAMSON ST SINCLAIR,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, SIEGWERK, MP MAQUINA WEBER, CONTAINER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, TINTAS, MAURICIO MEDINA, MAURICIO DAVIS, BOG.LOGICA COCA-COLA, BODEGA CLIENTES, TALLER SERV.TECNICO, SERVICIO TECNICO, BOG.LOGICA CyT VESPUCIO, TDP STOCK, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
19472,ETIQ.INDUST.B 50 X 100 SEM AE C3 1S 3.705 ETR,285.28499999999997,MILES,2801.7982,799311.0,INDUST. BLANCA,PRODUCTOS TERMINADOS,0.0,- Ningún fabricante -
200,CINTA ALUMINIO 50 X 25 50MTS,12.0,UNIDAD,2566.25,30795.0,PROD. INSUMOS,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, BOG.LOGICA CyT VESPUCIO, SERVICIO TECNICO, TALLER SERV.TECNICO, BODEGA CLIENTES, BOG.LOGICA COCA-COLA, MAURICIO DAVIS, MAURICIO MEDINA, TINTAS, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, CONTAINER, MP MAQUINA WEBER, SIEGWERK, RRHH, ST CONCEPCION, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
20193,CINTA TT CERA 102 x 360 IN F,13.0,UNIDAD,2163.8462,28130.0,INDUST. CINTAS,"MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, BODEGA COSTEO, PRODUCCION, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, BOG.LOGICA COCA-COLA, TALLER SERV.TECNICO, SERVICIO TECNICO, TDP STOCK, BOG.LOGICA APL, MPRIMA SOBRE STOCK, BOG.LOGICA CyT ESPEJO, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., MAURICIO MEDINA, MAURICIO DAVIS, BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, SIEGWERK, SALDO MATERIAS PRIMAS, MP MAQUINA WEBER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, ST CONCEPCION, CONTAINER, RRHH, BODEGA DURAMET, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, BODEGA PROVEEDOR, POSCOSECHA, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
20221,IMPRESORA ZEBRA TLP 2844 - 203 DPI,0.0,UNIDAD,0.0,0.0,INDUST.IMPRESORA,"BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, POSCOSECHA, RRHH, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, BODEGA DURAMET, ST CONCEPCION, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, MAURICIO DAVIS, TINTAS, BOG.LOGICA COCA-COLA, MAURICIO MEDINA, BODEGA CLIENTES, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
20226,ROL15-2761-04 RODILLO TRACTOR DATAMAX I-CLASS,0.0,UN,28404.0,0.0,ST-ETIQUETADO,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, ST CONCEPCION, RRHH, SIEGWERK, MP MAQUINA WEBER, CONTAINER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, TINTAS, MAURICIO MEDINA, MAURICIO DAVIS, BOG.LOGICA COCA-COLA, BODEGA CLIENTES, TALLER SERV.TECNICO, SERVICIO TECNICO, BOG.LOGICA CyT VESPUCIO, TDP STOCK, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
3000000948,AGROSUPER VIENESA TRADICIONAL 20 UNIDADES,0.0,ROLLO,0.0,0.0,SERVICIO PRIME,"BODEGA ESQUIM, GESLOG PUDAHUEL, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, ST IMPRESORAS Y EQUIPOS, SERV.TECNICO SAMSON, POSCOSECHA, BODEGA PROVEEDOR, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA DURAMET, RRHH, CONTAINER, ST CONCEPCION, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, MP MAQUINA WEBER, SALDO MATERIAS PRIMAS, SIEGWERK, POSCOSECHA MUESTRAS, TINTAS, BODEGA CLIENTES, MAURICIO DAVIS, MAURICIO MEDINA, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, MPRIMA SOBRE STOCK, BOG.LOGICA APL, TDP STOCK, SERVICIO TECNICO, TALLER SERV.TECNICO, BOG.LOGICA COCA-COLA, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, PRODUCCION, BODEGA COSTEO, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS",0.0,- Ningún fabricante -
31578,CONO 25.4 X 100 X 3 unidad,9214.0,UNIDAD,64.0,589696.0,PROD. INSUMOS,"MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO, PRODUCCION, MPRIMA SOBRE STOCK, DIFERENCIAS DE INV. P.T., BODEGA CLIENTES, TINTAS, POSCOSECHA MUESTRAS, BODEGA GESLOG INTEGRAL, RRHH, BODEGA DURAMET, SERV.TECNICO SAMSON, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, GESLOG PUDAHUEL, BODEGA ESQUIM",512.89592,TAISA
316233,FILM MERKAT BARRA CHOCOLATE-LECHE BRUGGEN,0.0,ROLLO,0.0,0.0,SERVICIO PRIME,"BODEGA COSTEO, MATERIAS PRIMAS E INSUMOS, PRODUCTOS TERMINADOS, RECLAMO PROVEEDOR, PRODUCCION, MPRIMA SOBRE STOCK, PRODUCTOS RECHAZADOS, NOTAS DE CREDITO, BOG.LOGICA APL, BOG.LOGICA CyT VESPUCIO, DIFERENCIAS DE INV. P.T., BOG.LOGICA CyT ESPEJO, TDP STOCK, TALLER SERV.TECNICO, SERVICIO TECNICO, BODEGA CLIENTES, MAURICIO MEDINA, BOG.LOGICA COCA-COLA, TINTAS, MAURICIO DAVIS, POSCOSECHA MUESTRAS, SALDO MATERIAS PRIMAS, SIEGWERK, MP MAQUINA WEBER, BODEGA GESLOG INTEGRAL, OBSOLETOS COMERCIAL, CONTAINER, ST CONCEPCION, BODEGA DURAMET, BODEGA PROVEEDOR, SERV.TECNICO SINCLAIR, SINCLAIR STOCK, RRHH, POSCOSECHA, SERV.TECNICO SAMSON, BOG. LOGICA ARAUCO, PERU STOCK ENVIO, ST IMPRESORAS Y EQUIPOS, GESLOG PUDAHUEL, BODEGA ESQUIM",0.0,- Ningún fabricante -
316234,FILM MERKAT BARRA MIEL BRUGGEN,0.0,ROLLO,0.0,0.0,SERVICIO PRIME,"BODEGA ESQUIM, GESLOG PUDAHUEL, ST IMPRESORAS Y EQUIPOS, PERU STOCK ENVIO, BOG. LOGICA ARAUCO, SERV.TECNICO SAMSON, POSCOSECHA, RRHH, SINCLAIR STOCK, SERV.TECNICO SINCLAIR, BODEGA PROVEEDOR, BODEGA DURAMET, ST CONCEPCION, CONTAINER, OBSOLETOS COMERCIAL, BODEGA GESLOG INTEGRAL, MP MAQUINA WEBER, SIEGWERK, SALDO MATERIAS PRIMAS, POSCOSECHA MUESTRAS, MAURICIO DAVIS, TINTAS, BOG.LOGICA COCA-COLA, MAURICIO MEDINA, BODEGA CLIENTES, SERVICIO TECNICO, TALLER SERV.TECNICO, TDP STOCK, BOG.LOGICA CyT VESPUCIO, BOG.LOGICA CyT ESPEJO, DIFERENCIAS DE INV. P.T., BOG.LOGICA APL, NOTAS DE CREDITO, PRODUCTOS RECHAZADOS, MPRIMA SOBRE STOCK, PRODUCCION, RECLAMO PROVEEDOR, PRODUCTOS TERMINADOS, MATERIAS PRIMAS E INSUMOS, BODEGA COSTEO",0.0,- Ningún fabricante -
