"sap","corr","descripcion","codigo_sap","cliente","categoria","venta","troquelado_especial","tipo_tintas","release_inhibidor","barniz","tipo_barniz","folia","sap_barniz","adhesivo","troquel_largoxancho","tipo_troquel","imag_eje","imag_desarrollo","z","paso_engranaje","sustrato_n1","n1","ancho_mts","sap_n1","sustrato_n2","ancho_n2","sap_n2","cinta_p_laminar","ancho","sap_n3_cinta_p_lam","trabajo_3ro","proveedor","sap_folia","ancho_folia","vendedor","cantidad_colores","prov_lam_1","prov_lam_2","prov_cinta","prov_folia","corte","bcm","color","anilox","bcm2","color3","anilox4","bcm5","color6","anilox7","bcm8","color9","anilox10","bcm11","aisa_maquina","aisa_final","muestra_adjunta","pantone","sist_etiq","uso","avance_x_etiqueta","avance_troquel","mts_x_rollo","et_x_rollo","rollos_x_caja","et_x_caja","n_columnas","factor_consumo","cod_caja","cod_cono","observaciones","elaborado_por","fecha_elab","n_revision","muestras_etiquetas","muestra_envases","velocidad_objetivo","actualizado_por","detalle_actualizacion","fecha_actualizacion","diametro_cono","z_cilindro_impresion","ruta_fabricacion","disponibilidad_troquel","envase_disponible","material","color12","entregada_a_pre_prensa","consideraciones_termo_hp","descrpcion","cps","cantidad_etq_en_oi","total_metros_lineales","fact_consu_mat_2","fact_consu_cinta_p_laminar","fact_consu_folia","estado_de_vb","troquel_existente_nuevo","receta_en_sap","proyecto_tp","fabricacion_samson","sap_de_troquel"
"48220","2392","ETIQUETA IND.70 X 100 MM PP CAJAS Y CONO SIN LOGO","48220","COMERCIAL FRYS","INDUSTRIAL BLANCA","MILES","NO","NO APLICA","N/A","NO","--","NO APLICA","--","FRIO","70 X 100","FLEXIBLE","3","6","138","3.175","LAMINADO 320MM PPDL54P4 OPTIMA PP BCO MATE 57M AF1000 G60","320","0.32","44533","--","--","--","--","--","--","--","--","","","MAURICIO MEDINA","0","ARCLAD","--","--","--","RECTANGULAR","43823","4","3","MANUAL","SIN INFORMACION","73.02499999999999","438.15","146.04999999999998","2000","4","8000","1","7.789333333333333","4","3","CONO Y CAJAS SIN EL LOGO INNOPRINT/MEMBRETE (ROTULO) SIN LOGO / MATERIA HOMOLOGAA 50754","CARLOS GRANDON","MANUAL","SIN INFORMACION","73.02499999999999","438.15","147","2000","4","8000","1","7.789333333333333","48225","708","CONO Y CAJAS SIN EL LOGO INNOPRINT/MEMBRETE (ROTULO) SIN LOGO / MATERIA HOMOLOGAA 50754","CARLOS GRANDON","43075","1","","","150","","","","3","138","RT","EXISTENTE","","BOPP","MATE","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","",""
"569","1414","ETIQUETA INDUSTRIAL BLANCA 80 X 100 SEMIBRILLO","569","MADERAS ARAUCO","INDUSTRIAL BLANCA","ROLLOS","--","--","--","NO","--","--","--","ESTANDAR","80 X 100","FLEXIBLE","1","3","80","3.175","LAMINADO 110MM PAPEL SEMIBRILLO L80-PH-G60 ARPLUS","110","0.11","57553","--","--","--","--","--","--","--","--","--","","","0","ARCLAD","--","--","--","RECTANGULAR","43823","1","2","AUTOMATICO","SIN INFORMACION","84.66666666666667","254","200","2365","4","9460","1","22","1","2","--","CARLOS GRANDON","MANUAL","SIN INFORMACION","84.66666666666667","254","201","2365","4","9460","1","22.11","718","708","","CARLOS GRANDON","42830","2","","","120","MARIO FLORES","SE AJUSTA A MAQUINA WEBTRON","46041","3","80","WEBTRON + RT","EXISTENTE","","PAPEL SEMIBRILLO","BLANCO","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","","46419"
"42443","5577","ETIQ.INDUST.B 30 X 30 TRANSFER OPTIMA TT C3 3S 17.180ETR (troquel separ. 3mm.)","42443","APL LOGISTICS","INDUSTRIAL BLANCA","MILES","NO","NO APLICA","N/A","NO","","NO APLICA","","ESTANDAR","30 X 30","FLEXIBLE","9","10","105","3.175","LAMINADO 330MM PAPEL TRANSFER PREMIUM EXTRA / RP51 / WHITE KRAFT 65","330","0.33","54024","","","","","","","","","","","MAURICIO DAVIS","0","","","","","CUADRADO","","","","","","","","","","","","","","1","2","","","MANUAL","SIN INFORMACION","33.3375","333.375","191","17180","4","68720","3","1.222375","718","708","ROLLOS A 3 COLUMNAS / USAR TROQUEL SAP 60665; VERIFICAR SEPARACION AL EJE : 3MM","KATHERINE MONTESINO","37625","1","","","100","MARIO FLORES","SE AGREGA TROQUEL NUEVO CON SEPARACION 3MM AL EJE","46010","3","105","RT","EXISTENTE","N/A","PAPEL TRANSFER","BLANCO","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","","60665"
"42444","8465","ETIQUETA INDUSTRIAL BLANCA 40 X 30 TRANSFER","42444","APL LOGISTICS","INDUSTRIAL BLANCA","MILES","NO APLICA","SIN INFORMACION","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","FRIO","40 X 30","FLEXIBLE","9","6","80","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","60230","NO APLICA","--","--","NO APLICA","--","--","","","","","--","0","","--","--","--","RECTANGULAR","1","2","MANUAL","SIN INFORMACION","42.8625","171.45","200","14000","4","56000","3","#VALUE!","718","1","2","DANIELA ORTIZ","43958","AUTOMATICO","SIN INFORMACION","42.333333333333336","254","198","14000","4","56000","3","1.5051851851851852","718","708","ROLLO FINAL A 3 COLUMNAS","MARIO FLORES","44999","2","","","150","MARIO FLORES","CAMBIO DE MP (JB)","45908","3","80","RT","EXISTENTE","","PAPEL TRANSFER","BLANCO","SETUP","","","","","N/A","","","","","EXISTENTE","OK","","",""
"42624","3493","ETIQUETA IND. 55 X 30 TRANSFER OPTIMA TT","42624","INDUSTRIAL BLANCA","INDUSTRIAL BLANCA","MILES","NO","NO APLICA","NO APLICA","NO","NO APLICA","NO APLICA","NO APLICA","ESTANDAR","55 X 30","FLEXIBLE","9","5","91","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","60230","NO APLICA","--","--","NO APLICA","--","--","N/A","N/A","N/A","N/A","--","0","AVERY","--","--","--","RECTANGULAR","","","","","","","","","","","","","","2","1","--","--","AUTOMATICO","SIN INFORMACION","57.785000000000004","288.925","203","10500","4","42000","3","2.054577777777778","718","708","ETIQUETA A 3 COLUMNAS","KATHERINE MONTESINO","43412","3","","","","MARIO FLORES","CAMBIO DE MP (JB)","45908","3","","","","","","","","","","","","","","","","","","","","",""
"48188","2358","ETIQUETA IND.60 X 100 MM SEMIBRILLO COD 1505097","48188","CAROZZI","INDUSTRIAL BLANCA","MILES","NO","NO APLICA","N/A","NO","--","NO APLICA","--","ESTANDAR","60 X 100","FLEXIBLE","3","4","80","3.175","LAMINADO 330MM PAPEL SEMIBRILLO L80 -P - G60 ARP","330","0.33","57844","--","--","--","--","--","--","--","--","--","--","EDUARDO LUCO","0","ARCLAD","--","--","--","RECTANGULAR","3","4","AUTOMATICO","SIN INFORMACION","53.339999999999996","266.7","540","10124","4","40496","1","0.0029337","43823","1","2","--","--","AUTOMATICO","SIN INFORMACION","63.5","254","508","8000","2","16000","1","6.985","43823: 355x355x220","COD. 708 CONO 77x100x4","--","CARLOS GRANDON","43073","2","","","150","MARIO FLORES","CAMBIO DE MP (JB)","45908","3","80","RT","EXISTENTE","","PAPEL SEMIBRILLO","BLANCO","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","",""
"50153","","ETIQUETA IND. 70 x 70 PREPRICING (21633) LINER AMARILLO TERMICO PROTEGIDO","50153","AGROSUPER","INDUSTRIAL BLANCA","MILES","--","--","--","SI","BARNIZ AG 50176","--","50176","FRIO","70 X 70","FLEXIBLE","2","3","69","3.175","LAMINADO 160MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60 RI","160","0.16","53169","NO APLICA","--","--","--","--","--","--","--","","","PAOLA SARABIA","1","RITRAMA","--","--","--","CUADRADO","","1","2","AUTOMATICO","SIN INFORMACION","74.6125","298.45","365","5000","3","15000","1","6.15553125","1","2","BARNIZ AG 50176/ MATERIAL HOMOLOGO VALIDADO 53169","KATHERINE MONTESINO","MANUAL","SIN INFORMACION","73.02499999999999","219.075","366","5000","3","15000","1","5.842","716","722","USAR BARNIZ AG SAP 50176","MARIO FLORES","45869","1","","","150","","","","3","69","FB-RT","EXISTENTE","","PAPEL TERMICO PROTEGIDO","BLANCO","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","","55596"
"50153","3762","ETIQUETA IND. 70 x 70 PREPRICING (21633) LINER AMARILLO TERMICO PROTEGIDO (FB)","50153","AGROSUPER","INDUSTRIAL BLANCA","MILES","--","--","--","SI","BARNIZ AG 50176","--","50176","FRIO","70 X 70","FLEXIBLE","4","6","138","3.175","LAMINADO 330MM TERMICO PROTEGIDO 7836 THERMAL TC /80 GR GL/60","330","0.33","48261","","","","","","","","","","","","1","RITRAMA","","","","CUADRADO","","","","","","","","","","","","","","1","2","","","MANUAL","SIN INFORMACION","73.02499999999999","438.15","366","5000","3","15000","1","6.024562499999999","716","722","USAR BARNIZ AG SAP 50176 CON ANILOX DE 700 LPI","MARIO FLORES","46147","1","","","150","","","","3","138","FB-RT","EXISTENTE","","PAPEL TERMICO PROTEGIDO","BLANCO","SETUP","","","","","","","","","N/A","EXISTENTE","OK","","","60148"
"50310","3861","ETIQUETA PRIME 63 X 50 SUBWAY FRANJA SIN ADHESIVO","50310","AXIONLOG","PRIME","UNIDADES","NO","UV","--","SI","UV6663 CURABLE GLOSS VARNISH cod. 45981","--","45981","ESTANDAR","63 X 50","FLEXIBLE","5","4","84","3.175","LAMINADO 300MM PAPEL SEMIBRILLO 80 GR AP 904( 6770 )","300","0.3","46452","NO APLICA","--","--","--","--","--","--","--","","","FRANCISCO URZUA","2:P-355C;P-7406C","RITRAMA","--","--","--","ESPECIAL","43823","2","2","AUTOMATICO","SIN INFORMACION","66.675","266.7","83.3","1250","8","10000","1","0.0040005","2","2","CAJA DEBE LLEVAR UNA ETIQUETA QUE ESPECIFIQUE: COD: SBW50310, PESO Y DIMENSIONES./NO CAMBIAR EMBALAJE ASIGNADO; 8 ROLLOS POR CAJA (16/8/21) / NO SE PUEDE CAMBIAR DE MATERIAL / AGREGAR A CADA CAJA CODIGO DE BARRAS SEGÚN MUESTRA (PEGADA EN EL SOBRE)./ SE DEBE RESPETAR AISA FINAL 2","KATHERINE MONTESINO","MANUAL","SIN INFORMACION","66.675","266.7","84","1250","8","10000","1","0.0040005","716","55694","CAJA DEBE LLEVAR UNA ETIQUETA QUE ESPECIFIQUE: COD: SBW50310, PESO Y DIMENSIONES./NO CAMBIAR EMBALAJE ASIGNADO; 8 ROLLOS POR CAJA (16/8/21) / NO SE PUEDE CAMBIAR DE MATERIAL / AGREGAR A CADA CAJA CODIGO DE BARRAS SEGÚN MUESTRA (PEGADA EN EL SOBRE)./ CONSIDERAR DAR VUELTA LA BOBINA IMPRESA ANTES DE REBOBINAR / SE DEBE RESPETAR AISA FINAL 2","KATHERINE MONTESINOS","43516","1","","","150","","","","3","84","FB-RT","EXISTENTE","","PAPEL SEMIBRILLO","BLANCO","OK","","","","","","","","","","EXISTENTE","OK","","",""
"51066","4309","ETIQUETA PRIME EASY FLAP 100 X 45 FREBINI ENERGY DRINK CHOCOLATE (10097) V.6","51066","LAB KABI","EASY FLAP","UNIDADES","NO APLICA","UV","INHIBIDOR / RELEASE","NO","NO APLICA","NO APLICA","NO APLICA","ESTANDAR","100 X 45","FLEXIBLE","4","3","97","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","43573","LAMINADO 200MM PPBB60-P1-G62S","200","43573","--","--","--","--","--","--","--","MAURICIO DAVIS","7: P-168; P-136; P-300 (3); INHIB + ANULADOR","ARCLAD","ARCLAD","--","--","RECTANGULAR","3","4","AUTOMATICO","SIN INFORMACION","53.339999999999996","266.7","540","10124","4","40496","1","0.0029337","43823","4","3","--","--","AUTOMATICO","SIN INFORMACION","102.65833333333332","307.97499999999997","200","1948","4","7792","1","0.008212666666666667","716","701","--","KATHERINE MONTESINO","43682","2","","","40","KATHERINE MONTESINO","SE CAMBIA EMBALAJE Y CONO DE ETIQUETA","43707","3","97","FB-RT","EXISTENTE","","BOPP","BLANCO","OK","","","","","","","","","","EXISTENTE","OK","","",""
"51125","4355","ETIQUETA INDUSTRIAL BLANCA 50 X 50 MM TRANSFER FRIO","51125","AGRICOM","INDUSTRIAL BLANCA","MILES","NO","--","--","NO","--","--","--","FRIO","50 X 50","FLEXIBLE","6","5","84","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","60263","--","--","--","--","--","--","--","--","--","--","PAOLA SARABIA","0","ARCLAD","--","--","--","CUADRADO","3","4","AUTOMATICO","SIN INFORMACION","53.339999999999996","266.7","540","10124","4","40496","1","0.0029337","43823","1","2","--","--","AUTOMATICO","SIN INFORMACION","53.339999999999996","266.7","213","8000","4","32000","2","2.8447999999999998","718","708","ETIQUETA A DOS COLUMNAS /CAJAS CON CODIGO DE BARRAS DE CLIENTE","KATHERINE MONTESINO","43689","3","","","120","MARIO FLORES","CAMBIO A RUTA RT Y MP (JB)","45908","3","84","RT","EXISTENTE","","PAPEL TRANSFER","BLANCO","OK","","","","","","","","","","EXISTENTE","OK","","",""
"51377","4531","ETIQUETA IND. 210 x 148 TRANSFER  ROLLO DE 900 UNID. CONO 3","51377","EMPACK","INDUSTRIAL BLANCA","MILES","NO","--","N/A","NO","--","NO APLICA","--","FRIO","210 x 148","FLEXIBLE","2","2","138","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","60230","NO APLICA","--","--","NO APLICA","--","NO APLICA","--","--","","","SEBASTIAN SCHON","0","ARCLAD","--","--","--","","","RECTANGULAR","43823","1","2","MANUAL","SIN INFORMACION","219.075","438.15","198","900","2","1800","1","2","1","2","MANUAL","SIN INFORMACION","219.075","438.15","198","900","2","1800","1","35.052","718","708/39378","","KATHERINE MONTESINOS","43748","2","","","150","MARIO FLORES","CAMBIO DE MP (JB)","45908","3","138","RT","EXISTENTE","","PAPEL TRANSFER","BLANCO","OK","","","","","","","","","N/A","EXISTENTE","OK","","",""
"51562","4668","ETIQUETA INDUSTRIAL BLANCA 50 X 100 TRANSFER FRIO CONO 1","51562","AGRICOM","INDUSTRIAL BLANCA","MILES","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","NO APLICA","50 X 100","FLEXIBLE","3","5","84","3.175","LAMINADO 320MM PAPEL TRANSFER TT62/P6H ARC","320","0.32","60230","NO APLICA","--","--","NO APLICA","--","--","N/A","N/A","N/A","N/A","PAOLA SARABIA","0","ARCLAD","","","","RECTANGULAR","","","","","","","","","","","","","","1","2","--","--","MANUAL","SIN INFORMACION","53.339999999999996","266.7","54","1000","16","16000","1","5.6895999999999995","718","31578","CAMBIA A RUTA ROTOFLEX.","DANIELA ORTIZ","43780","3","3","","150","MARIO FLORES","CAMBIO DE MAT. Y RUTA DE TRABAJO (JB)","45621","1","84","RT","EXISTENTE","","PAPEL TRANSFER","BLANCO","OK","","","","","","","","","","","","","",""
"56035","7666","ETIQ PRIME 190 X 90 NUEVA KIWI MANO CABEZAL  SB AE A2 DIS032022","56035","FRUGAL","PRIME","UNIDADES","NO","UV","N/A","SI","BRILLANTE UV 6663 CURABLE GLOSS VARNISH","NO APLICA","45981","ESTANDAR","190 X 90","FLEXIBLE","3","2","122","3.175","LAMINADO 300MM PAPEL SEMIBRILLO L80-P6H-G62S ARCLAD","300","0.3","56777","--","--","--","--","--","--","--","--","","","FRANCISCO URZUA","5:C;M;Y;K;P-7582","ARCLAD","--","--","--","RECTANGULAR","43823","4","3","MANUAL","SIN INFORMACION","193.67499999999998","387.34999999999997","387","2000","2","4000","1","0.019367499999999996","4","3","","DANIELA ORTIZ","AUTOMATICO","SIN INFORMACION","193.67499999999998","387.34999999999997","388","2000","2","4000","1","0.019367499999999996","43823","720","**","MARIO FLORES","46129","1","","","40","","","","3","122","FB + RT","EXISTENTE","N/A","PAPEL SEMIBRILLO","BLANCO","OK","","","","","","","","","","","","","",""
"57259","8526","ETIQ.PRIME.D 100X100 PPB   ETIQUETA MUESTRA PURATOS 100 X 100 IMPRESA A TRES COLORES MAS BARNIZ PARA SOBRE IMPRI MIR  AF A3 C3 1S ETR V323","57259","PURATOS","PRIME DIGITAL","UNIDADES","NO","UV DIGITAL","N/A","SI","BARNIZ ACUOSO","","***","FRIO","100 X 100","FLEXIBLE","3","3","97","3.175","LAMINADO 333MM PP BLANCO SY1071HRP37 EXACTO","333","0.333","54394","NO APLICA","--","--","--","--","--","","","","","MAURICIO DAVIS","3: P-186; P-698; P-COOL GRAY 10","UPM","--","--","--","CUADRADO","","","","","","","","","","","","","","3","3","","","MANUAL","SIN INFORMACION","102.65833333333332","307.97499999999997","52","500","12","6000","1","0.011395075","49","31578","PROCESO: IMPRESIÓN EN DURST → APLICAR  BARNIZ EN MAQ. FB → TROQUELADO  EN GM ; REBOBINADO FINAL EN RT (AISA FINAL 3)","MARIO FLORES","45016","1","","","80","MARIO FLORES","CAMBIA TAMAÑO DE CONO Y CANT ETIQ. POR ROLLO","45036","1","97","DURST-FB-GM-RT-","EXISTENTE","","BOPP","BLANCO","OK","OK","OK","OK","","","","","","PANTONE","EXISTENTE","OK","","",""
"57592","8750","ETIQ.PRIME 125X65 BB60 PRODEA MOLIDA DE POLLO - SUPER POLLO AF A1 C3 1S 3500ETR V823","57592","PRODEA","PRIME","UNIDADES","NO APLICA","UV","NO APLICA","SI","CON RESERVA BARNIZ UV BRILLANTE","NO APLICA","47662","ESTANDAR","125 X 65","FLEXIBLE","4","3","122","3.175","LAMINADO 300MM PP BCO BTE PPBB57-P ARC","300","0.3","60595","NO APLICA","","--","NO APLICA","--","--","","","","","HERNAN LARA","8: C; M; Y; K; P-137; P-360; P-287; BLACK+BARNIZ C/RESERVA","RAFLATAC","","","","RECTANGULAR","0.0107489625","2","1","AUTOMATICO","SIN INFORMACION","129.11666666666665","387.34999999999997","451","3500","3","10500","1","0.0107489625","2","1","CON RESERVA BARNIZ UV BRILLANTE / LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / USAR CONO DE 1""","MARIO FLORES","AUTOMATICO","SIN INFORMACION","129.11666666666665","387.34999999999997","451","3500","3","10500","1","0.009683749999999998","43823","39379","CON RESERVA BARNIZ UV BRILLANTE / LOS EMPALMES DEBEN SER CON CINTA TRANSPARENTE Y A LA MITAD DE LA ETIQUETA/ LOS ROLLOS DEBEN IR LIBRES DE POLVILLO (LIMPIAR CON AIRE) / REBOBINAR X ESCANER RT-2.","MARIO FLORES","45140","2","","","150","MARIO FLORES","CAMBIO DE MP (JB)","45908","3","BOPP","BLANCO","EXISTENTE","","BOPP","BLANCO","OK","7160","","","","CLIENTE","","","","","EXISTENTE","OK","TP 14249","",""
"58041","9060","ETIQ.PRIME.C 75X75 SEM RUCARAY FIRST STREET GREEN SEEDLES 3LB AE A3 C3 1S 4000ETR V1223","58041","RUCARAY","PRIME CLAMSHELL","UNIDADES","NO APLICA","HP","NO APLICA","SI","BARNIZ UV BRILLANTE UV6663","NO APLICA","45981","ESTANDAR","75 X 75","FLEXIBLE","3","5","122","3.175","LAMINADO 280MM PAPEL BLANCO SEMIBRILLO AP904 6770","280","0.28","56683","NO APLICA","","--","NO APLICA","--","--","--","--","","","RODRIGO ABUTER","3: P-7732; P-7738; BLACK + BARNIZ BTE","RITRAMA","--","--","--","CUADRADO","718","4","3","MANUAL","SIN INFORMACION","77.47","387.34999999999997","310","4000","4","16000","1","0.006391274999999999","4","3","","MARIO FLORES","MANUAL","SIN INFORMACION","77.47","387.34999999999997","310","4000","3","12000","1","0.007230533333333333","716","722","SE IMPRIME A 3 IMÁGENES AL EJE Y SE USA TROQUEL SAP 51991 DEJANDO FUERA UNA SALIDA","MARIO FLORES","45288","1","","","20","","","","3","122","FB + RT","","","PAPEL SEMIBRILLO","BLANCO","OK","","","","60000","1280","","","","PANTONE","EXISTENTE","OK","TP 15316","",""
"58042","9061","ETIQ.PRIME.D 157X60 SEM INV. BIOLOGICA ETIQ. PRIME 157 x 60 SB OSTEOARTRIT   AE A3 C3 1S 1000ETR V1223","58042","BIOLOGICA","PRIME DIGITAL","UNIDADES","SI","UV DIGITAL","NO APLICA","SI","BARNIZ BRILLANTE","NO APLICA","***","ESTANDAR","157 X 60","FLEXIBLE","4","2","105","3.175","LAMINADO 300MM PAPEL SEMIBRILLO L80-PH-G60 ARPLUS","300","0.3","57557","NO APLICA","--","--","NO APLICA","--","NO APLICA","","","","","MARCO PALACIOS","5: C; M; Y; K ; P-ORANGE 021+BARNIZ","ARCLAD","--","--","--","ESPECIAL","0.0125015625","4","3","AUTOMATICO","SIN INFORMACION","166.6875","333.375","167","1000","6","6000","1","0.0125015625","4","3","IMPRESION VARIABLE / USAR BARNIZ EXTENDER LETDOWN / EMBALAR POR SEPARADO ETIQUETA 1 Y ETIQUETA 2 SEGÚN MUESTRA EL ARTE: LAS CAJAS DEBEN SER IDENTIFICADAS CON STICKER QUE INDIQUE DETALLE DE LOTE Y FECHA DE VENCIMIENTO (TAL COMO MUESTRA EL ARTE)","MARIO FLORES","AUTOMATICO","SIN INFORMACION","166.6875","333.375","167","1000","6","6000","1","0.0125015625","718","39379","IMPRESION VARIABLE / USAR BARNIZ BRILLANTE/ EMBALAR POR SEPARADO ETIQUETA 1 Y ETIQUETA 2 SEGÚN MUESTRA EL ARTE: LAS CAJAS DEBEN SER IDENTIFICADAS CON STICKER QUE INDIQUE DETALLE DE LOTE Y FECHA DE VENCIMIENTO (TAL COMO MUESTRA EL ARTE) / PERIODICAMENTE SE ACTUALIZARA EL ARTE MODIFICANDO LA IMPRESION VARIABLE DE N° DE LOTE Y FECHA DE VENCIMIENTO MANTENIENDO EL MISMO SAP DE LA ETIQUETA.","MARIO FLORES","45288","1","","","20","","","","3","105","DU + GM + RT","","","PAPEL SEMIBRILLO","BLANCO","OK","","","","30000","1360","","","","SEGÚN MUESTRA","EXISTENTE","OK","TP 15344","",""
"58050","9062","ETIQ.PRIME.C 50X50 SEM FRUTOS LA AGUADA NATURES PARTNER 11 ONZAS ORG AE A3 C3 1S 10000ETR V124","58050","FRUTOS LA AGUADA","PRIME CLAMSHELL","UNIDADES","NO","UV","NO APLICA","SI","BRILLANTE UV 6663 CURABLE GLOSS VARNISH cod. 45981","NO APLICA","45981","ESTANDAR","50 X 50","FLEXIBLE","6","5","84","3.175","LAMINADO 330MM PAPEL SEMIBRILLO L80-PH-G60 ARPLUS","330","0.33","57559","NO APLICA","--","--","NO APLICA","--","--","","","","","RODRIGO ABUTER","8: C; M; Y; K; P-2301; P-175; P-3415 + BARNIZ","ARCLAD","--","--","--","CUADRADO","0.0029337","3","4","AUTOMATICO","CLAMSHELLS","53.339999999999996","266.7","535","10000","3","30000","1","0.0029337","4","3","CONSIDERAR IMPRESIÓN X ADHESIVO","MARIO FLORES","AUTOMATICO","CLAMSHELLS","53.339999999999996","266.7","535","10000","3","30000","1","0.0029337","43823","39378","","MARIO FLORES","45295","1","","","150","","","","3","84","FB + RT","","","PAPEL SEMIBRILLO","BLANCO","OK","","","","1450000","14000","","","","PANTONE","EXISTENTE","OK","TP 15312","",""
"58051","9063","ETIQ.PRIME.C 75X50 SEM FRUTOS LA AGUADA NATURES PARTNER 18 ONZAS ORG AE A3 C3 1S 7000ETR V124","58051","FRUTOS LA AGUADA","PRIME CLAMSHELL","UNIDADES","NO","UV","N/A","SI","UV6663 CURABLE GLOSS VARNISH","NO APLICA","45981","ESTANDAR","75 X 50","FLEXIBLE","6","4","97","3.175","LAMINADO 330MM PAPEL SEMIBRILLO 80 GR AP 904","330","0.33","45856","NO APLICA","--","--","NO APLICA","--","--","--","--","","","RODRIGO ABUTER","8: C; M; Y; K; P-3415; P-2301; P-2301 REV. + BARNIZ","ARCLAD","--","--","--","RECTANGULAR","","3","4","MANUAL","SIN INFORMACION","76.99374999999999","307.97499999999997","308","4000","4","16000","1","0.00423465625","4","3","","DANIELA ORTIZ","AUTOMATICO","SIN INFORMACION","76.99374999999999","307.97499999999997","539","7000","4","28000","1","0.00423465625","43823","39378","CONSIDERAR IMPRESIÓN X ADHESIVO","MARIO FLORES","44930","1","","","80","","","","3","97","FB + RT","","","PAPEL SEMIBRILLO","BLANCO","OK","","","","450000","6300","","","","PANTONE","EXISTENTE","OK","TP 15313","",""
"58053","9064","ETIQ.PRIME.W 160X40 WG AGROTERRA WINEGLASS AGROTERRA   A3 C3 1S 2000ETR V12024","58053","AGROTERRA","WINEGLASS","MILES","SI","SOLVENTE","NO APLICA","SI","BARNIZ ACUOSO","NO APLICA","49860","NO APLICA","160 X 40","MACIZO","5","2","101","3.175","LAMINADO 167 WINEGLASS (MANUAL) RITR. 02767","167","0.167","54314","NO APLICA","","--","NO APLICA","--","NO APLICA","","","","","HERNAN LARA","2: P-361; P-358 + BARNIZ","RITRAMA","--","--","--","ESPECIAL","5.3552725","3","8","AUTOMATICO","SIN INFORMACION","160.33749999999998","320.67499999999995","321","2000","5","10000","1","5.3552725","4","3","","MARIO FLORES","AUTOMATICO","SIN INFORMACION","160.33749999999998","320.67499999999995","321","2000","5","10000","1","5.3552725","43823","701","","MARIO FLORES","44930","1","","","60","","","","3","101","FB + RT","","","WINEGLASS","BLANCO","OK","","","","550000","19800","","","","PANTONE","EXISTENTE","OK","TP 15346","",""
"58058","9065","0 17X21 BB60 SOFRUCO ETIQUETA PP SOFRUCO BOSC 4026 GTIN 07802821012773 AE A3 C1 1S 2700ETR V124","58058","SOFRUCO","SAMSON","MILES","NO","SOLVENTE","N/A","NO","--","N/A","--","ESTANDAR","17 X 21","FLEXIBLE","7","15","90","3.175","LAMINADO 160MM PP BCO BTE ARPPBB60-P ARPLUS (SAMSON/ARP)","160","0.16","57755","NO APLICA","","","N/A","--","N/A","--","--","","","ALEX CORTES","4: BLACK; P-280; P-ORANGE 021; P-355","ARCLAD","--","--","--","OVALADO","49","4","3","SEMIAUTOMATICO","SIN INFORMACION","19.05","285.75","50","2700","32","86400","1","0.43542857142857144","4","3","APLICACIÓN CON PISTOLA SAMSON / ROLLO A 1 COLUMNA/ USAR TROQUEL SUPERIOR SINCLAIR Y TROQUEL SAMSON INFERIOR SIN MEDIO CORTE EN EL MEDIO.","MARIO FLORES","SEMIAUTOMATICO","SIN INFORMACION","19.05","285.75","50","2700","32","86400","1","0.43542857142857144","49","55704","APLICACIÓN CON PISTOLA SAMSON / ROLLO A 1 COLUMNA/ USAR TROQUEL SUPERIOR SINCLAIR Y TROQUEL SAMSON INFERIOR SIN MEDIO CORTE EN EL MEDIO.","MARIO FLORES","45295","1","","","150","","","","1","90","","","","BOPP","BLANCO","OK","","","","691200","2300","","","","PANTONE","EXISTENTE","OK","S/TP","",""
